gene,GSM3017184,GSM3017185,GSM3017186,GSM3017187,GSM3017188,GSM3017189,GSM3017190,GSM3017191,GSM3017192,GSM3017193,GSM3017194,GSM3017195
1245,88.43609944602464,89.34442234476343,90.53105199546631,79.69278747602735,77.13479275598885,75.59389452858379,66.91610417228196,68.21694147575228,58.54113942879881,78.10191220707058,78.54940898901211,80.71155172573536
1248,116.74732989188615,115.1166370254314,119.53870622923267,116.65560970557664,112.73818980204923,109.65829423149025,95.73364487185918,97.20483255976002,98.22053667180114,116.59998771495673,121.65194000713868,119.42817356558574
1251,349.0972686573553,353.6890562614738,392.2642395453442,471.101757477782,439.5263702857838,432.5979097213099,407.206430862524,363.9683712960637,379.8867061366796,456.1073081615498,505.6381371252044,439.6011977830472
1254,49.82052883206432,48.95629031026217,50.1023519543969,111.87092060622211,106.79992235423276,105.58621659547748,82.25425116128795,80.52818878849921,68.41925455495699,113.25654287358113,120.29985526300815,111.20249484648916
1257,68.26815628543848,64.4295175559228,68.6119967196138,64.75000479664692,65.2571142673796,66.91326365746444,49.0712829574687,51.98497042672951,56.997616399504544,57.96418386275095,58.31015089680019,60.24993495566748
1260,40.16713745122456,44.17866690312144,45.38118703977149,20.281649044248528,18.47132707652392,16.359120153560244,7.602008374872386,9.46074370831601,8.54612582515276,25.04827244505657,29.667984749027777,26.895570089390134
1263,119.6524005552589,125.36755897212804,125.09940855853756,99.46913565180816,99.39226485609716,96.26002822280518,88.35535956793957,89.79190789096,91.28513955755356,121.01219576631392,123.75104021116913,122.7355327574446
1266,52.44241771293783,52.45962785381175,50.75660090250119,54.48184526047887,53.89148792631007,54.263548336983,38.41475438372114,41.57039930003509,41.39682455589603,43.384241546741706,44.16905331990701,45.3188086786822
1269,57.89132207469793,58.15977072634914,57.45327751336112,40.859319690335205,42.06019310007026,40.14605493729273,28.695103622159674,29.14914347109309,26.5363929795442,44.19558184497996,46.71554586887532,43.06740072549655
1272,69.07526627998375,67.98673136101819,69.56132790854109,62.56860156296934,62.49010722105228,61.03664217013221,47.91898568224448,52.3652634004234,47.25876915104603,62.20281337612926,66.4672962547414,62.667322363427246
1275,39.494639808773215,39.219718208157374,40.70492733040796,81.23304495214018,75.37051140463862,70.77961443183791,56.76678357735815,62.45262456616532,83.80403790896248,76.31651929857027,84.69918783251852,81.69957280345379
1278,50.6897959947848,53.38913419367656,54.07369797206693,54.97574818011274,48.4442526734639,49.578070874814166,25.124135169974856,27.737021027716697,27.39408958038281,43.75229898745472,43.76237831078218,43.42062859357741
1281,33.79014710468771,36.07014659220782,36.89855199811754,27.44738336367205,26.575163912687746,26.111392696494686,18.01300586462772,19.563631654527494,18.27516852540137,27.461584432433472,28.283934338254813,26.78515456161232
1284,199.25903326271023,197.12164982056035,211.89849735680505,225.259489716137,229.25885400318003,229.42827496386235,173.01641043310127,177.97645997272298,166.34669387304152,214.99480887121257,217.755033655537,229.49382024641852
1287,126.9149213495376,135.2709419270779,140.53432245523248,89.22885316163581,87.62852725862568,82.46751273377659,69.37529767340317,74.69530499040886,71.30358175796613,103.97911592391807,110.42921276269342,105.95779958710024
1290,85.179241249279,88.36212583449947,92.34543874372105,70.61441249423639,74.56420242209737,69.86025566928703,58.4906702297215,63.8272104344294,60.79605629104262,78.991821635605,79.2571782977583,79.00420540817488
1293,53.77239616594869,56.09900507914504,52.94385918108365,56.00054726563771,56.500388846471786,57.60808890205868,47.45203644777858,48.17885755233221,48.901425635244856,55.70747851479548,54.715475698672925,59.00405248565875
1296,104.17173536270056,107.5847614934534,106.1307553840227,56.24738995337041,53.43217671223169,51.54203123317018,37.14853274530771,38.63598064117357,36.88352607078792,54.51703779459483,57.74450505750854,56.662444651696426
1299,127.10007835220432,126.70028271674386,133.53109578228924,121.437071306267,121.93235003577068,119.49496183922524,101.08150384021552,103.70747580263752,98.1224374690099,110.83492177730078,110.59910529021262,112.1496170190141
1302,108.7823980578684,111.22215140040171,116.24685036420902,72.35053778209274,71.70562041286375,68.48458318848941,65.33845709889327,67.89926323012311,66.40800140631973,72.44502005192514,72.84514517156647,73.37394906509998
1305,61.66348135615578,62.202278339440575,65.34146800445517,71.22484330614215,72.123942578117,70.22386398983959,59.90850052421292,62.80978018208528,59.17929619153543,74.85444957762728,75.47247480295566,76.2602036476898
1308,88.973526007096,87.33404233378894,91.74208598298068,90.34463222393435,92.68370834554516,90.19563259403728,84.94272018961998,85.85133833718486,75.99455164704409,86.8481808766775,87.28874927543015,86.16036211192568
1311,58.33007768228376,57.96007522169993,61.55392200436594,59.39304310401702,58.58273806446578,59.33601720324381,52.95931007374492,53.087309806519706,51.72992283180528,57.16513407839837,57.07352639734391,58.42878829137194
1314,416.88008558482494,393.5328422021908,414.3825946531365,372.7201282031271,345.780742044645,341.5505453242956,6138.531884202012,4941.052763280256,4900.882226854962,1783.2704063534402,1931.7935512402264,1626.8441703026765
1315,5.850045752592036,5.528287867963384,4.865243589150434,7.090056444227731,6.435913478443178,6.278060081921608,4.200619897454502,4.850595433401164,3.7918040897229504,5.324370970944687,5.990839015719841,6.146324435997202
1316,80.5393836894341,91.5420138275222,79.2659980069956,79.9503045821823,79.5632969595845,87.50227058881062,45.99309335273921,46.04564092079335,59.57476455622158,86.8440758034439,79.30851734606907,84.6232180075215
1317,59.282669014572704,56.55918518695313,57.89576665867275,72.07670361070792,64.24080221446498,65.25333565516632,44.686512608446016,45.93128119748913,51.57480536850888,76.3909312566319,74.2244175007445,72.5699139629476
1320,60.50550377602239,59.6104790616999,61.38036347826054,61.080212867491554,60.69038489542348,60.121784073866586,47.60476856278146,51.094806032352615,45.11497144061834,66.90095912974192,66.79383067807976,67.0181624521051
1323,55.80530008038311,55.07755165364021,59.4061564324681,73.78938759562766,68.8965884106363,66.1910435575682,44.89947102424524,45.717330558505225,41.51490900486392,64.39588604492847,66.47372156806958,66.46515043471997
1326,52.75647555433839,52.740950238384,53.39034980008936,68.0682320916057,65.90364699049239,65.7383115167901,64.11745275298357,66.46178087828189,57.82936258156108,70.65722589330446,73.2197121086286,73.48363926818057
