Gene,WT_Log,WT_DS,WT_Q,Rpd3_Log,Rpd3_DS,Rpd3_Q
DBP7,6.271,1.864,-0.169,6.461,4.261,3.929
DBP8,6.741,2.247,-0.106,6.956,4.389,4.063
DBP9,7.173,3.441,-0.029,7.076,5.264,4.555
DBR1,4.235,3.808,1.266,4.472,3.644,3.984
DCC1,4.172,3.737,-0.976,4.924,4.573,3.449
DCD1,5.096,1.389,-6.893,5.441,3.902,2.572
DCG1,4.462,2.439,-1.494,2.034,1.988,1.435
DCI1,3.357,3.865,1.379,3.838,3.871,5.027
DCN1,3.535,3.941,0.217,4.115,4.173,3.25
DCP1,6.096,4.28,-1.011,6.064,4.949,3.338
DCP2,5.553,4.756,-0.712,5.482,4.98,4.365
DCR2,5.037,4.747,1.483,5.042,5.277,3.691
DCS1,5.393,7.362,4.468,6.974,7.142,6.522
DCS2,3.313,8.314,5.49,3.933,7.003,6.347
DCW1,5.917,4.971,1.755,7.055,6.263,4.834
DDC1,2.972,2.758,-1.581,3.955,3.604,3.016
DDI1,5.525,5.584,1.762,6.043,5.632,6.368
DDI2,3.463,3.367,-0.055,-0.105,0.481,0.114
DDI3,3.598,3.44,0.226,-0.105,0.304,0.114
DDP1,5.587,5.313,1.202,5.965,5.448,3.228
DDR2,3.8,11.887,7.402,3.52,8.877,9.185
DDR48,5.459,6.714,-0.261,5.826,5.63,3.494
DED1,10.254,7.046,2.37,9.735,7.571,7.826
DED81,9.36,7.224,0.397,9.57,8.332,5.851
DEF1,7.505,5.708,1.996,8.004,6.354,5.642
DEG1,5.769,2.844,-1.155,5.484,3.723,3.967
DEP1,5.074,4.159,0.044,5.751,4.726,4.716
DER1,4.996,4.357,0.543,4.885,4.333,4.1
DET1,5.554,5.335,1.495,6.302,6.11,4.062
DFG10,4.737,2.548,-2.03,4.257,3.435,2.933
DFG16,5.045,4.259,2.358,4.843,4.434,4.465
DFG5,7.427,5.23,3.166,7.689,6.723,6.55
DFM1,6.014,5.827,1.363,6.402,6.526,6.025
DFR1,5.801,3.501,0.224,5.921,4.604,4.064
DGA1,5.204,5.852,3.418,5.452,5.948,5.475
DGK1,6.858,5.249,1.191,7.184,6.249,5.195
DGR1,2.725,1.356,,4.384,4.025,
DGR2,4.035,4.192,0.058,4.169,4.612,3.919
DHH1,7.368,5.334,2.866,7.184,5.86,6.127
DHR2,5.658,0.899,-2.93,6.202,4.205,3.491
DIA1,6.693,3.569,2.886,5.514,3.865,6.365
DIA2,4.801,3.033,-1.352,4.364,3.947,3.412
DIA3,2.027,2.822,3.545,-0.855,0.843,5.549
DIA4,3.469,4.392,-0.946,5.228,5.472,3.938
DIB1,5.627,6.211,0.015,6.121,6.504,4.464
DIC1,3.934,3.553,-0.515,4.621,4.278,2.883
DID2,6.755,6.112,2.632,7.418,6.697,6.002
DID4,6.167,5.944,3.348,6.568,5.768,5.43
DIE2,5.084,4.269,-0.977,4.737,5.081,2.759
DIF1,6.143,2.953,-0.976,6.898,4.465,4.299
DIG1,5.987,4.033,0.408,6.155,5.155,4.163
DIG2,3.831,2.856,-0.102,4.948,5.237,3.498
DIM1,7.586,3.521,1.201,7.723,6.058,5.46
DIN7,2.902,2.405,1.41,3.846,3.702,3.528
DIP2,7.149,2.579,0.179,6.796,4.834,4.293
DIP5,7.449,8.283,3.567,6.91,9.576,7.92
DIS3,7.0,4.075,-1.013,6.815,5.099,4.219
DIT1,2.623,1.564,-2.93,0.461,-0.059,0.918
DIT2,2.481,1.807,-2.204,1.032,1.338,2.591
DJP1,6.134,4.678,2.017,6.517,5.334,4.365
DLD1,6.28,8.155,2.173,6.989,9.054,5.385
DLD2,6.331,5.507,0.465,5.696,5.911,3.792
DLD3,8.11,5.211,1.399,7.844,7.508,6.839
DLS1,3.494,2.714,-1.527,3.675,3.51,2.34
DLT1,4.478,3.211,0.501,3.974,3.377,2.738
DMA1,5.608,4.627,1.866,6.13,5.283,4.79
DMA2,4.39,4.814,2.839,5.192,5.483,5.587
DMC1,2.184,2.344,1.133,3.131,4.46,5.59
DML1,5.076,3.422,-2.744,4.936,4.686,3.451
DNA2,3.746,3.201,-0.234,4.196,4.064,3.498
DNF1,5.876,5.252,2.627,6.689,5.94,4.834
DNF2,6.277,4.596,-1.057,6.339,5.636,3.98
DNF3,4.833,4.484,0.42,5.058,4.826,3.669
DNL4,3.788,3.401,-0.278,3.398,3.314,2.974
DNM1,5.559,6.25,1.097,5.867,6.613,3.88
DOA1,6.035,5.031,-0.18,6.967,6.179,5.615
DOA4,3.697,4.223,2.328,4.806,4.783,4.883
DOC1,4.767,3.633,0.724,5.213,4.457,4.748
DOG1,4.077,2.14,-2.922,2.07,2.11,2.079
DOG2,5.547,3.297,-4.185,5.372,4.802,4.126
DOM34,5.964,3.515,0.848,5.433,3.539,3.527
DON1,2.267,2.356,0.813,1.531,2.117,3.882
DOP1,5.569,4.507,-0.552,5.538,5.106,4.401
DOS2,4.944,4.521,0.811,5.587,5.08,4.636
DOT1,4.74,2.348,-3.219,5.292,3.987,3.3
DOT5,5.884,4.978,-1.154,6.696,5.764,3.661
DOT6,4.752,4.582,0.976,5.161,5.669,4.342
DPB11,4.012,2.784,0.352,3.687,3.202,3.034
DPB2,5.064,1.451,-2.796,5.69,4.606,3.28
DPB3,4.742,4.179,-2.847,4.856,4.729,3.211
DPB4,5.798,4.013,2.417,6.316,5.338,4.415
DPH1,6.278,3.613,1.148,6.488,5.243,4.688
DPH2,7.672,5.203,0.909,7.882,7.308,5.475
DPH5,7.85,5.564,1.821,7.926,6.93,5.314
DPL1,6.409,5.595,2.213,6.647,6.049,5.282
DPM1,7.631,6.17,-1.249,7.591,7.607,5.059
DPP1,6.615,6.254,-0.747,7.062,6.664,5.082
DPS1,8.761,7.476,3.621,8.659,7.855,6.012
DRE2,6.929,5.766,2.335,7.013,5.891,4.995
DRS1,7.153,3.105,-0.031,7.137,5.514,4.922
DRS2,5.818,4.107,-1.773,5.754,4.491,3.318
DSD1,5.72,6.931,1.232,6.966,7.426,5.616
DSE1,7.131,6.069,-0.217,7.001,5.631,3.592
DSE2,8.423,5.966,-1.565,8.216,5.873,3.618
DSE3,5.204,4.678,0.574,5.524,4.661,3.422
DSE4,6.892,5.865,-2.398,6.985,4.577,2.167
DSF1,0.738,2.219,-0.161,-0.64,4.287,3.533
DSF2,4.631,2.302,-1.411,4.566,3.482,2.682
DSK2,7.849,6.754,2.549,7.877,6.945,6.02
DSL1,4.959,4.133,0.865,4.899,4.391,3.637
DSN1,4.459,3.175,-1.371,5.118,4.262,4.117
DSS1,4.326,3.148,-1.532,4.406,4.577,3.046
DSS4,5.585,3.745,1.697,5.181,4.36,3.123
DST1,6.358,4.664,1.537,6.838,5.883,5.233
DTD1,5.999,3.093,-3.335,6.057,4.618,2.43
DTR1,1.679,0.543,-2.627,-0.84,-0.727,0.6
DUG1,9.0,7.798,-0.401,9.548,8.991,6.176
DUG2,5.213,3.118,-1.179,5.879,4.756,3.985
DUG3,4.794,3.985,-1.647,6.102,5.409,4.634
DUN1,4.539,3.542,-1.888,6.205,6.082,4.363
DUO1,3.819,2.908,-2.344,4.911,4.705,3.081
"DUR1,2",5.409,4.376,0.62,6.023,5.327,4.639
DUR3,2.654,3.126,0.168,3.763,4.25,3.295
DUS1,6.055,2.6,-1.644,6.573,4.991,3.963
DUS3,6.139,2.517,-0.637,6.277,5.042,4.704
DUS4,5.594,3.038,-1.395,6.074,4.738,4.069
DUT1,7.351,3.991,-2.161,7.49,6.03,4.297
DYN1,3.84,3.753,-1.962,4.602,4.636,3.223
DYN2,7.032,6.782,0.693,7.382,6.786,5.142
DYN3,4.054,3.047,-1.138,5.193,4.081,4.357
DYS1,8.39,3.985,-1.146,8.401,5.796,4.241
EAF1,4.234,3.785,-0.02,5.379,5.344,3.923
EAF3,6.129,6.981,3.598,7.056,7.42,5.726
EAF5,4.766,3.195,-1.543,5.062,4.177,3.633
EAF6,5.512,4.682,1.447,5.735,5.308,3.977
EAF7,4.19,3.218,-1.425,4.398,3.723,3.617
EAP1,4.574,4.155,-0.274,4.899,4.613,4.04
EAR1,6.016,5.324,3.718,6.011,5.579,5.016
EBP2,7.497,3.478,0.988,7.462,4.944,4.533
EBS1,5.643,4.543,1.786,5.15,5.113,4.895
ECI1,2.911,5.444,3.965,4.247,6.152,6.139
ECL1,6.463,6.685,3.288,5.948,7.178,7.008
ECM1,7.462,3.705,1.133,7.713,5.515,4.786
ECM10,3.771,3.823,3.853,4.383,4.058,3.715
ECM11,-1.157,-2.456,-6.84,3.339,2.86,3.031
ECM12,3.207,1.511,-1.025,2.387,1.779,0.995
ECM13,4.001,8.248,0.571,5.949,9.355,5.706
ECM14,6.92,6.069,2.898,6.828,6.434,5.05
ECM15,7.904,8.898,5.554,7.866,7.899,6.548
ECM16,5.906,2.559,-0.369,5.999,4.435,4.264
ECM18,3.307,3.728,-0.328,1.687,3.596,3.269
ECM19,5.757,6.498,0.45,5.865,6.947,3.945
ECM2,4.018,3.685,2.665,4.716,3.747,3.95
ECM21,4.41,6.11,3.358,5.782,5.789,5.266
ECM22,4.884,3.721,-0.303,5.133,4.635,4.246
ECM23,-1.905,-2.838,-0.586,-2.379,-1.327,-0.37
ECM25,4.657,3.043,-0.472,4.948,4.903,3.562
ECM27,4.444,4.275,1.776,4.775,4.879,4.397
ECM29,6.004,5.029,-0.377,7.319,6.391,5.163
ECM3,5.745,3.599,-1.549,5.294,4.405,3.01
ECM30,4.658,4.273,-0.812,5.102,4.688,3.448
ECM31,4.688,3.804,-2.986,5.84,5.264,3.614
ECM32,4.942,3.615,-0.061,5.352,3.893,3.501
ECM33,10.119,7.657,0.13,10.196,9.266,6.124
ECM34,3.746,3.303,0.003,2.74,2.359,3.152
ECM38,5.309,5.056,0.711,5.953,5.444,4.622
ECM4,3.972,8.226,5.136,5.298,6.037,6.024
ECM5,4.41,4.313,2.907,4.594,4.764,3.613
ECM7,5.768,4.338,2.064,6.26,5.828,4.537
ECM8,3.369,3.603,1.126,2.709,3.084,3.274
ECM9,3.724,3.349,0.017,3.61,4.16,3.187
ECO1,3.029,2.082,-2.817,4.356,4.185,2.415
ECT1,6.612,4.851,2.066,6.763,5.446,5.071
EDC1,4.882,5.019,0.654,5.195,5.108,3.717
EDC2,6.46,6.767,5.539,6.43,5.31,7.082
EDC3,6.091,4.38,0.002,6.45,5.283,4.73
EDE1,6.705,6.515,2.218,7.532,6.545,5.579
EDS1,3.566,3.849,0.031,4.077,5.033,3.655
EEB1,4.721,4.129,0.55,4.134,3.503,3.406
EFB1,11.967,8.214,4.096,11.715,8.47,7.748
EFG1,6.339,2.386,-0.991,6.299,3.624,3.769
EFM1,6.772,4.156,0.791,6.451,5.683,4.108
EFR3,6.644,3.973,-1.515,6.284,4.855,3.604
EFT1,11.862,8.417,4.205,11.669,9.205,7.477
EFT2,11.917,8.473,4.341,11.713,9.236,7.519
EGD1,10.594,7.422,1.461,10.323,8.136,6.726
EGD2,10.346,7.432,0.555,10.082,8.325,6.64
EGT2,7.43,5.729,-2.092,7.301,5.209,2.698
EHD3,5.086,5.762,-1.586,6.5,6.87,4.631
EHT1,7.05,7.368,-1.886,7.234,7.926,4.66
EIS1,5.682,7.35,2.423,6.307,6.299,5.621
EKI1,4.47,2.091,1.55,4.554,3.608,3.57
ELA1,3.558,3.189,-0.001,3.83,3.492,3.1
ELC1,5.018,5.084,0.818,6.299,5.569,3.333
