Gene,WT_Log,WT_DS,WT_Q,Rpd3_Log,Rpd3_DS,Rpd3_Q
RIM15,4.555,4.43,0.237,5.377,5.093,4.116
RIM2,5.667,3.149,-0.192,5.909,4.884,3.002
RIM20,4.841,4.433,1.05,5.42,5.067,3.979
RIM21,5.885,5.139,1.731,6.081,6.077,4.555
RIM4,3.477,5.415,3.487,5.507,7.008,7.217
RIM8,3.72,3.874,1.965,4.269,4.34,4.143
RIM9,4.04,3.894,-1.102,4.199,4.653,3.426
RIO1,5.33,3.687,-1.171,5.725,4.538,4.067
RIO2,6.347,3.135,-1.402,6.734,5.401,4.53
RIP1,7.715,9.921,4.534,7.672,10.343,6.378
RIT1,4.57,3.073,-0.269,4.375,4.207,3.811
RIX1,6.783,2.096,-2.6,6.507,4.897,4.604
RIX7,6.457,1.767,-0.383,6.602,3.997,4.049
RKI1,7.004,6.649,-0.415,7.195,8.068,4.468
RKM1,5.253,2.982,-2.911,5.932,4.637,3.39
RKM2,4.914,3.185,-2.921,5.118,4.023,3.302
RKM3,5.356,2.637,-1.805,5.463,4.528,3.936
RKM4,5.593,3.254,-3.364,5.812,4.447,3.717
RKM5,4.669,3.854,-0.94,5.181,4.192,3.213
RKR1,5.449,4.078,-0.154,5.482,5.112,4.037
RLF2,4.206,1.895,-2.715,4.742,3.713,3.075
RLI1,8.188,5.006,0.587,7.854,6.543,5.116
RLM1,5.186,4.012,1.604,5.638,4.765,4.461
RLP24,8.597,4.429,1.484,8.428,6.406,5.652
RLP7,7.952,3.905,2.023,7.784,5.248,5.247
RMA1,3.079,1.45,-3.697,3.342,2.788,1.81
RMD1,4.648,3.563,1.377,4.949,4.081,3.332
RMD5,4.394,5.349,4.404,5.228,5.437,5.403
RMD6,3.218,2.183,-2.155,3.588,2.947,1.604
RMD8,5.308,3.863,0.156,4.736,4.224,3.543
RMD9,5.458,4.246,-1.321,5.643,5.986,3.584
RME1,6.183,7.29,1.646,6.672,7.445,4.443
RMI1,4.626,4.992,2.21,5.855,5.86,4.072
RML2,5.944,5.633,1.218,6.499,6.569,3.557
RMP1,4.532,2.515,-5.169,5.178,3.856,2.982
RMR1,3.391,4.917,1.717,5.672,5.762,5.971
RMT2,6.984,2.769,-0.131,7.272,5.533,5.105
RNA1,7.952,5.163,0.781,7.783,5.783,4.253
RNA14,5.967,4.31,1.563,5.837,4.78,4.436
RNA15,5.601,3.83,1.111,6.016,4.508,4.508
RNA170,3.96,3.191,0.067,4.974,4.726,5.934
RNH1,4.772,3.087,1.296,4.221,3.025,3.434
RNH201,4.903,3.946,-0.619,5.442,5.114,3.681
RNH202,4.851,3.283,-2.552,5.197,4.686,3.489
RNH203,5.819,5.392,-1.162,6.329,5.751,2.916
RNH70,5.72,4.145,1.07,5.838,4.393,4.216
RNP1,0.359,2.078,-2.62,3.743,3.887,3.841
RNQ1,7.264,6.553,1.679,7.306,6.703,5.344
RNR1,7.974,4.148,-1.545,8.234,6.404,4.147
RNR2,8.834,7.864,4.413,9.079,7.541,7.222
RNR3,1.991,2.403,1.966,2.867,1.938,4.333
RNR4,8.752,7.365,3.048,9.234,7.504,7.123
RNT1,5.752,2.654,-0.389,6.116,5.016,4.431
RNY1,3.427,6.089,1.522,5.267,5.667,4.568
ROD1,4.557,3.675,0.057,4.651,4.162,3.361
ROG1,4.528,2.02,0.531,4.195,3.313,3.258
ROG3,3.991,3.69,-0.404,3.952,4.683,3.543
ROK1,6.241,2.314,-1.276,6.366,4.856,3.945
ROM1,4.23,5.419,0.569,4.598,5.345,4.861
ROM2,5.27,4.739,1.52,5.474,5.272,4.575
ROT1,7.221,6.293,4.082,7.308,6.957,5.865
ROT2,5.474,5.483,1.249,6.647,5.998,4.887
ROX1,5.083,4.357,-0.779,5.263,4.905,4.257
ROX3,6.624,4.379,3.619,7.678,4.837,6.336
ROY1,5.445,4.877,2.949,5.732,5.019,4.42
RPA12,7.684,2.798,-1.859,7.165,4.926,4.203
RPA135,8.838,4.184,0.91,8.684,6.393,5.584
RPA14,7.205,4.874,1.729,7.183,6.265,5.095
RPA190,8.673,4.396,1.302,8.318,6.149,5.277
RPA34,7.564,2.529,0.137,7.697,4.85,4.878
RPA43,7.141,2.675,-1.181,7.203,4.56,4.075
RPA49,7.875,2.414,-0.742,7.713,5.211,4.942
RPB10,8.253,4.887,1.797,7.967,6.051,5.258
RPB11,6.964,5.304,1.1,7.344,6.092,5.373
RPB2,7.59,5.641,3.481,7.529,6.057,5.608
RPB3,5.446,3.672,-0.368,5.689,4.379,3.635
RPB4,7.157,6.466,3.116,7.527,6.88,5.619
RPB5,7.912,4.652,0.143,7.864,5.419,4.804
RPB7,7.15,5.839,1.904,7.033,6.612,5.504
RPB8,8.981,5.485,1.64,9.112,7.192,5.552
RPB9,6.766,4.084,-0.102,6.789,5.603,4.211
RPC10,7.56,4.239,1.494,7.463,6.104,5.126
RPC11,6.649,4.173,-0.069,6.787,5.588,4.174
RPC17,5.66,2.659,-1.083,6.091,4.783,4.146
RPC19,8.004,4.306,2.257,7.887,6.358,5.568
RPC25,5.519,2.978,-2.452,6.013,4.572,3.77
RPC31,5.915,3.073,-0.064,6.378,5.273,3.913
RPC34,5.407,2.937,-0.964,5.293,4.065,2.752
RPC37,6.231,3.262,0.713,6.839,5.314,4.692
RPC40,8.851,4.552,2.144,8.583,6.572,5.63
RPC53,6.582,3.191,0.224,6.885,4.902,4.577
RPC82,6.643,2.945,0.043,6.747,5.018,4.462
RPD3,6.145,5.238,1.232,,-0.087,-5.166
RPE1,7.689,6.64,1.177,7.848,7.7,5.447
RPF1,6.094,3.109,-1.021,6.609,5.224,4.183
RPF2,7.644,3.134,0.567,7.717,5.43,5.062
RPG1,8.46,4.41,1.416,8.216,5.486,5.155
RPH1,4.896,4.499,2.636,5.614,4.796,5.176
RPI1,4.387,3.464,1.041,-2.639,-0.517,-0.749
RPL10,11.593,6.987,4.227,11.429,9.024,8.387
RPL11A,11.588,6.708,2.953,11.685,8.861,6.875
RPL11B,11.349,6.59,2.096,11.367,8.809,6.744
RPL12A,10.703,5.744,2.504,10.697,7.734,6.431
RPL12B,12.11,7.197,2.957,11.94,8.957,7.227
RPL13A,10.936,5.482,1.848,10.7,7.453,6.339
RPL13B,11.839,7.254,2.974,11.856,8.673,7.102
RPL14A,12.002,6.792,3.189,11.802,9.047,7.237
RPL14B,11.607,6.77,4.168,11.385,8.639,7.504
RPL15A,12.265,7.104,3.783,12.396,9.605,7.928
RPL15B,7.285,4.639,1.527,7.628,6.012,4.93
RPL16A,11.241,6.614,2.484,10.971,8.338,6.301
RPL16B,12.356,7.212,2.631,12.501,9.572,7.316
RPL17A,11.938,6.967,3.799,11.629,8.902,7.085
RPL17B,11.283,6.07,3.277,11.333,8.05,6.639
RPL18A,12.7,7.427,2.589,12.69,9.537,7.76
RPL18B,9.952,4.797,1.04,9.882,7.107,5.577
RPL19A,11.792,7.473,4.639,11.952,9.09,7.384
RPL19B,12.345,7.873,5.009,12.373,9.341,7.679
RPL1A,11.976,7.607,3.189,11.967,9.63,7.755
RPL1B,12.012,7.543,3.639,12.068,9.842,8.096
RPL20A,11.917,6.579,3.722,11.87,8.608,6.864
RPL20B,11.686,7.037,3.324,11.558,8.769,7.089
RPL21A,12.014,6.422,3.558,11.866,8.681,6.941
RPL21B,11.415,6.583,2.447,11.266,8.087,6.461
RPL22A,6.834,0.332,,5.887,3.934,
RPL22B,7.861,3.084,0.401,7.578,5.773,5.919
RPL23A,11.506,6.371,3.54,11.484,8.451,6.299
RPL23B,11.922,7.307,2.649,11.798,9.188,7.463
RPL24A,11.994,7.002,4.549,11.945,8.994,7.112
RPL24B,11.358,6.814,2.597,11.587,8.636,6.525
RPL25,12.831,8.016,4.737,12.771,9.837,7.736
RPL26A,10.942,6.583,0.821,10.914,8.209,6.536
RPL26B,11.978,6.134,3.263,11.768,8.323,7.045
RPL27A,12.334,7.09,3.652,12.38,9.243,7.055
RPL27B,11.346,6.589,2.589,11.108,8.589,6.545
RPL28,9.629,4.81,0.485,9.902,6.998,4.899
RPL29,13.308,8.877,4.197,13.409,10.498,8.284
RPL2A,11.662,6.48,,11.52,8.611,6.669
RPL2B,12.555,7.396,2.742,12.368,9.431,7.305
RPL3,12.762,7.89,4.069,12.64,10.407,8.79
RPL30,12.33,7.44,3.928,11.893,9.865,7.647
RPL31A,12.324,7.64,2.927,12.39,9.298,6.974
RPL31B,10.347,5.584,2.808,10.459,7.42,5.705
RPL32,12.915,7.906,4.986,12.829,9.784,8.265
RPL33A,8.604,2.945,-2.206,8.002,5.496,3.428
RPL33B,11.283,6.23,3.47,11.185,8.279,7.017
RPL34A,10.937,6.175,2.204,10.814,8.004,6.17
RPL34B,11.535,6.546,3.482,11.42,8.577,6.709
RPL35A,12.115,7.612,3.35,12.245,9.271,7.905
RPL35B,11.888,7.329,3.459,11.987,8.911,7.687
RPL36A,11.094,6.39,3.269,10.865,7.994,6.505
RPL36B,4.796,1.067,-3.29,4.756,2.471,-2.709
RPL37A,12.113,6.995,3.786,12.076,9.002,7.001
RPL37B,11.816,7.745,3.906,12.096,9.187,7.449
RPL38,12.378,7.497,4.31,12.332,9.677,8.264
RPL39,6.578,0.57,,5.688,3.591,
RPL40A,12.055,7.643,4.366,12.1,9.36,7.721
RPL40B,11.755,6.765,4.063,11.661,8.441,7.321
RPL41A,14.43,11.472,7.079,14.24,12.495,10.538
RPL41B,14.627,12.274,6.544,14.365,13.288,10.425
RPL42A,12.116,7.309,2.74,12.112,9.065,7.347
RPL42B,12.505,8.011,4.438,12.554,9.707,7.913
RPL43B,11.609,7.271,3.582,11.455,9.224,7.324
RPL4A,11.311,7.619,2.685,11.228,9.736,7.656
RPL4B,11.273,7.567,3.314,11.287,9.786,7.837
RPL5,12.51,7.029,3.709,12.43,9.856,8.027
RPL6A,11.434,6.627,3.338,11.323,8.394,6.539
RPL6B,11.569,6.153,1.942,11.371,8.083,6.145
RPL7A,11.407,6.398,1.974,11.418,8.316,6.398
RPL7B,9.233,4.058,0.594,9.252,6.383,5.096
RPL8A,10.104,4.971,1.959,10.062,7.648,7.026
RPL8B,10.655,5.157,1.607,10.641,7.483,6.184
RPL9A,11.904,5.297,1.562,11.834,7.408,5.653
RPL9B,10.175,6.377,3.884,10.016,8.357,6.934
RPM1,4.235,5.181,6.148,5.075,5.271,4.842
RPM2,4.337,5.929,0.879,4.478,6.711,3.911
RPN1,7.885,6.668,3.439,8.275,6.761,6.418
RPN10,7.791,6.671,2.413,8.072,7.047,6.713
RPN11,7.498,6.491,3.398,7.476,6.107,6.25
RPN12,7.38,6.496,1.497,7.219,6.528,5.625
RPN13,7.691,6.733,3.686,8.118,6.917,6.274
RPN14,4.402,4.689,-2.064,4.557,4.442,3.592
RPN2,7.81,6.651,2.337,8.118,6.874,6.494
RPN3,7.689,6.908,3.744,7.476,6.72,7.02
RPN4,6.265,6.38,2.941,6.344,5.998,5.836
RPN5,7.28,6.746,3.778,7.566,6.84,7.205
RPN6,7.782,6.897,2.915,8.253,6.806,6.456
RPN7,7.209,6.086,1.007,7.616,6.281,5.612
RPN8,7.358,7.009,3.654,7.657,6.726,6.453
RPN9,7.372,6.04,1.105,7.177,6.098,5.996
RPO21,7.322,5.982,3.214,7.265,6.163,5.649
RPO26,8.998,5.827,0.57,9.004,6.872,5.889
RPO31,7.107,4.425,2.842,7.286,5.75,5.046
RPO41,5.776,5.164,2.424,5.834,5.88,4.514
RPP0,12.775,7.967,2.944,12.666,9.865,7.464
RPP1,5.913,3.252,-3.207,6.384,4.98,4.19
RPP1A,12.264,8.176,3.894,12.184,9.213,7.201
RPP1B,12.433,7.668,2.671,12.32,9.781,7.523
RPP2A,12.417,7.3,2.071,12.406,10.057,7.842
RPP2B,12.975,8.52,2.931,12.863,10.368,8.12
RPR1,13.526,13.009,11.162,13.796,13.351,13.467
RPR2,4.6,4.407,1.818,5.309,4.399,3.985
RPS0A,11.505,6.844,2.921,11.452,8.502,6.977
RPS0B,12.148,7.036,3.616,12.039,9.258,7.323
RPS10A,12.121,7.387,4.251,12.307,9.429,7.447
RPS10B,11.319,6.883,5.074,11.463,8.675,7.469
RPS11A,12.003,6.936,4.459,11.782,8.816,7.395
RPS11B,11.829,6.583,1.63,11.858,8.704,6.993
RPS12,12.915,7.776,4.473,12.7,10.529,8.974
RPS13,12.479,6.96,2.724,12.383,9.244,7.896
RPS14A,12.141,7.806,3.767,12.019,9.557,7.415
RPS14B,10.296,6.559,4.833,10.455,8.947,7.497
RPS15,11.945,7.207,4.349,11.742,8.977,6.983
RPS16A,11.431,6.668,2.198,11.276,8.791,6.87
RPS16B,11.813,6.555,3.946,11.729,8.518,7.101
RPS17A,12.317,7.592,4.471,12.211,9.16,7.221
RPS17B,11.202,6.186,0.932,11.262,8.781,6.801
RPS18A,12.199,7.478,3.77,12.163,9.124,6.863
RPS18B,11.851,6.834,2.299,11.959,8.785,7.032
RPS19A,10.867,6.122,2.118,10.9,8.045,6.517
RPS19B,11.687,6.788,2.757,11.782,8.783,6.555
RPS1A,11.622,7.282,4.097,11.703,9.095,7.704
RPS1B,12.366,7.335,3.642,12.292,9.369,7.449
RPS2,12.358,7.115,4.143,12.175,8.709,7.716
RPS20,12.668,7.706,3.832,12.579,9.644,7.802
RPS21A,11.7,6.798,3.218,11.66,9.069,7.622
RPS21B,11.865,7.213,2.218,12.082,9.152,6.736
RPS22A,12.262,6.089,1.017,12.359,8.99,7.204
RPS22B,9.618,4.503,3.158,9.913,5.764,6.388
RPS23A,11.762,7.25,2.835,11.639,8.897,6.87
RPS23B,11.99,7.699,4.391,12.079,9.471,7.447
RPS24A,12.12,7.049,2.84,11.995,9.026,7.21
RPS24B,11.357,6.167,3.22,11.247,8.607,7.325
RPS25A,12.53,8.244,4.931,12.577,9.747,7.812
RPS25B,11.306,6.559,3.769,11.369,8.161,6.59
RPS26A,12.546,8.322,4.321,12.592,9.826,7.469
RPS26B,11.36,5.262,2.177,11.232,8.33,6.74
RPS27A,9.711,5.832,3.91,9.643,7.406,7.034
RPS27B,12.38,7.927,5.902,12.51,9.605,8.33
RPS28A,12.258,8.666,4.911,12.276,10.035,7.904
RPS28B,10.826,5.579,1.936,10.805,8.647,7.074
RPS29A,11.59,6.497,1.476,11.448,8.842,6.633
RPS29B,12.247,8.083,3.535,12.382,9.912,8.7
RPS3,12.548,6.521,4.68,12.499,9.275,8.351
RPS30A,12.374,9.029,7.166,12.66,10.233,8.694
RPS30B,12.891,9.552,7.046,13.079,10.765,8.852
RPS31,13.45,7.59,4.867,13.355,9.862,8.492
RPS4A,11.887,6.611,3.838,11.791,8.545,6.916
RPS4B,11.598,6.701,4.21,11.531,8.587,6.741
RPS5,12.818,7.931,4.151,12.837,9.69,8.113
RPS6A,11.905,7.101,3.353,11.932,8.917,6.985
RPS6B,11.789,6.926,2.895,11.788,8.699,6.75
RPS7A,11.965,6.398,3.687,11.749,8.682,7.101
RPS7B,9.507,4.827,0.014,9.148,6.422,5.509
RPS8A,12.152,7.275,4.589,12.053,9.143,7.547
RPS8B,12.046,6.845,3.961,11.964,9.051,7.243
RPS9A,8.554,2.223,0.606,8.645,4.961,5.568
RPS9B,12.461,6.601,2.429,12.54,8.949,7.344
RPT1,7.754,6.807,2.969,8.113,6.632,6.213
RPT2,7.339,6.33,3.971,7.645,6.222,6.143
RPT3,7.671,6.488,3.481,7.791,6.321,6.768
RPT4,7.188,6.608,2.869,7.861,6.478,6.588
RPT5,7.92,6.677,2.141,8.032,6.665,6.736
RPT6,7.591,6.772,4.241,7.99,6.705,6.478
RRB1,7.992,3.286,-1.641,8.147,6.032,5.337
RRD1,5.934,5.2,1.591,6.395,5.435,4.459
RRD2,4.635,4.882,0.61,5.466,5.156,4.31
RRF1,4.294,4.321,-2.074,4.204,4.704,3.196
RRG1,4.028,3.119,-2.386,4.29,3.608,2.621
RRG7,4.706,3.343,-1.351,5.419,5.237,4.056
RRG8,4.744,3.079,-0.572,4.797,4.222,4.793
RRG9,5.176,4.112,0.833,5.651,5.643,3.655
RRI1,3.532,4.21,0.106,4.117,5.276,4.014
RRI2,3.483,3.939,-1.679,4.079,4.188,4.043
RRM3,4.427,2.927,-3.021,5.864,4.953,4.347
RRN10,4.383,3.42,0.534,5.045,4.052,3.826
RRN11,4.452,1.288,-1.721,5.774,4.045,4.071
RRN3,5.876,3.598,0.333,6.212,4.708,4.605
RRN5,4.272,3.223,-0.904,4.134,3.744,2.233
RRN6,5.102,3.236,-1.639,5.39,4.315,3.585
RRN7,3.785,3.706,-1.918,4.743,5.056,3.161
RRN9,5.172,3.41,-0.141,5.329,4.348,3.589
RRP1,7.349,3.165,-1.459,7.715,6.084,4.918
RRP12,7.941,3.122,-0.392,7.538,5.426,5.178
RRP14,5.683,2.661,1.236,6.045,4.048,4.229
RRP15,6.947,3.957,1.261,7.07,5.238,4.877
RRP17,4.018,0.561,-2.039,4.293,2.555,1.38
RRP3,6.606,3.628,-0.611,6.785,5.317,4.399
RRP36,4.841,2.071,-1.582,5.779,4.501,4.729
RRP4,6.117,4.08,0.529,6.856,5.818,5.274
RRP40,6.933,4.192,1.275,7.116,5.942,5.028
RRP42,7.375,4.139,-0.771,7.109,5.103,4.117
RRP43,6.279,3.913,0.19,6.221,4.603,4.42
RRP45,6.906,4.105,-2.101,6.854,4.948,4.082
RRP46,6.496,3.499,2.123,6.601,4.693,5.097
RRP5,8.243,3.973,0.952,8.32,5.998,4.953
RRP6,6.803,4.213,1.822,6.007,4.551,4.182
RRP7,6.971,4.552,2.749,7.019,5.091,5.11
RRP8,6.443,2.886,0.475,6.245,4.391,4.177
RRP9,6.841,2.693,0.161,7.023,4.627,4.405
RRS1,8.005,3.785,2.24,8.143,6.209,5.666
RRT1,2.945,6.543,5.272,4.242,6.381,6.292
RRT12,3.84,2.281,-2.281,4.262,4.16,3.304
RRT13,4.037,3.428,-0.504,3.421,3.868,3.427
RRT14,6.761,2.881,1.265,7.128,4.932,4.979
RRT15,2.62,4.648,-1.413,1.89,4.629,4.787
RRT16,4.301,2.732,-0.002,5.306,4.202,3.803
RRT2,6.462,3.911,-0.053,6.563,5.186,4.026
RRT5,2.92,-2.97,-4.448,2.924,-2.302,1.53
RRT6,2.349,5.753,2.368,2.667,6.321,4.761
RRT8,4.552,6.614,5.013,5.181,5.737,5.705
RSA1,5.287,4.188,1.659,5.517,4.704,5.055
RSA3,7.58,4.257,1.138,7.675,5.714,4.868
RSA4,6.218,1.344,-1.2,6.663,4.541,4.476
RSB1,4.564,5.895,-0.06,6.27,7.074,2.467
RSC1,4.528,3.027,-1.758,4.185,3.522,3.373
RSC2,4.986,3.336,0.666,4.95,4.757,3.374
RSC3,5.477,3.244,-0.706,5.186,4.235,3.63
RSC30,4.886,4.177,0.759,4.224,3.88,3.476
RSC4,5.149,3.232,0.743,5.109,3.797,3.703
RSC58,5.378,3.555,1.454,5.22,3.898,3.768
RSC6,6.393,4.326,0.137,6.844,5.279,4.671
RSC8,6.368,4.798,-0.492,6.776,5.476,4.836
RSC9,5.65,3.823,1.976,5.966,4.981,4.735
RSE1,5.198,3.566,-1.173,5.558,4.155,3.457
RSF1,3.865,3.789,2.041,4.22,4.545,4.006
RSF2,4.183,3.953,1.636,4.611,5.179,4.352
RSM10,6.014,6.317,2.555,6.392,7.152,5.671
RSM18,6.615,6.513,1.8,6.923,6.944,4.879
RSM19,5.831,6.143,2.011,6.467,7.01,4.627
RSM22,4.809,3.685,0.489,5.652,4.935,3.137
RSM23,5.49,5.101,-0.446,5.574,6.235,3.582
RSM24,5.349,5.375,0.072,6.025,6.38,4.549
RSM25,5.224,5.514,1.042,5.71,6.469,3.716
RSM26,6.668,5.673,1.058,6.857,7.285,4.188
RSM27,5.877,5.371,0.423,6.135,6.393,3.551
RSM28,5.732,5.759,1.971,6.033,6.66,4.317
RSM7,5.755,5.496,0.463,5.941,6.16,4.425
RSN1,7.753,5.223,0.867,6.743,5.255,5.114
RSP5,7.831,6.947,3.546,8.066,7.239,6.246
RSR1,5.93,1.964,-3.116,6.617,4.222,2.49
RTA1,3.781,2.578,-0.748,5.358,4.232,4.056
RTC1,3.921,3.867,-1.008,4.695,4.653,3.342
RTC2,2.702,7.991,3.1,2.355,7.771,4.683
RTC3,5.286,9.029,4.481,5.062,7.013,7.926
RTC4,4.659,2.975,-1.797,5.099,4.184,4.501
RTC5,5.285,4.53,0.796,5.914,5.287,4.65
RTC6,6.841,6.691,3.191,7.186,7.72,5.599
RTF1,5.622,4.099,1.945,5.756,4.634,3.242
RTG1,5.685,4.814,3.024,5.409,4.818,5.188
RTG2,6.094,5.299,1.684,6.264,5.696,4.859
RTG3,4.707,4.33,1.134,4.923,4.639,4.373
RTK1,4.502,5.526,2.741,4.617,5.325,4.011
RTN1,8.675,7.197,1.83,8.369,7.613,5.867
RTN2,3.916,9.03,6.993,4.601,7.859,7.042
RTR1,3.959,3.715,0.588,4.044,3.982,3.735
RTR2,4.211,3.641,-0.126,4.541,4.054,3.159
RTS1,6.663,5.647,2.868,6.686,5.89,5.312
RTS2,3.839,3.025,1.318,5.698,4.978,4.802
RTS3,6.534,4.546,4.577,7.687,5.633,8.982
RTT10,6.451,2.767,-1.789,6.424,4.664,4.084
RTT101,4.681,4.258,0.543,4.701,4.561,3.989
RTT102,5.912,4.12,2.846,6.261,4.86,4.861
RTT103,4.207,3.52,0.73,4.573,3.937,3.457
RTT105,4.016,3.837,0.692,5.056,5.08,4.33
RTT106,5.39,3.74,1.846,5.854,4.522,4.556
RTT107,4.758,2.059,-1.246,5.065,3.845,3.429
RTT109,4.123,2.174,-3.332,4.283,3.252,2.578
RUB1,7.448,6.011,2.376,7.594,6.401,4.621
RUD3,5.349,2.715,-2.536,5.865,4.266,3.503
RUF20,3.5,1.63,-2.157,3.539,3.016,1.046
RUF21,-2.451,-3.218,-3.429,0.7,2.94,3.661
RUF22,-2.111,,-3.565,,,-3.675
RUF23,1.072,-3.313,-4.489,2.742,-0.825,1.65
RUF5-1,7.154,8.469,2.422,3.321,7.564,5.95
RUF5-2,7.204,8.462,2.452,3.383,7.556,5.996
RUP1,5.381,4.974,1.297,5.987,5.728,4.511
RVB1,7.306,4.931,1.253,7.538,5.828,5.327
RVB2,7.095,4.777,1.359,6.997,5.547,4.555
RVS161,7.321,6.426,3.649,7.422,6.355,6.117
RVS167,6.794,6.154,2.063,7.355,6.39,5.356
RXT2,5.002,4.471,1.457,5.517,4.717,4.626
RXT3,5.182,4.159,1.479,6.148,4.764,4.133
SAC1,7.598,4.477,-1.198,7.406,6.32,4.687
SAC3,4.649,3.278,-1.615,4.864,4.139,3.27
SAC6,7.857,7.164,2.334,8.096,7.356,6.055
SAC7,6.114,4.317,1.189,6.086,4.97,4.645
SAD1,5.527,2.357,-1.603,5.62,3.645,2.962
SAE2,3.575,1.786,-2.467,4.427,3.834,3.185
SAE3,-0.748,-1.493,-4.675,1.782,3.272,3.687
SAF1,3.986,6.415,4.462,4.875,5.706,5.952
SAG1,3.597,3.493,0.649,4.274,4.3,5.05
SAH1,10.607,6.325,-0.957,10.596,8.381,6.679
SAK1,5.11,3.687,0.152,5.017,4.152,3.824
SAL1,5.202,4.624,-1.254,5.267,5.547,3.941
SAM1,9.37,3.764,-1.512,9.534,6.638,3.748
SAM2,7.855,4.77,-0.221,9.008,7.854,4.114
SAM3,5.717,5.98,-1.161,6.302,7.393,4.932
SAM35,6.244,5.24,0.546,6.827,6.397,4.549
SAM37,4.778,4.207,-0.002,4.967,5.089,4.07
SAM4,8.547,5.96,-0.565,8.152,6.93,4.05
SAM50,5.605,5.004,-1.514,5.77,5.589,4.52
SAN1,6.113,4.122,1.288,6.095,4.923,4.141
SAP1,3.24,3.144,1.097,2.896,3.932,4.079
SAP155,5.974,5.766,3.563,5.487,5.868,4.985
SAP185,5.807,3.342,-0.326,6.267,4.776,4.249
SAP190,6.46,4.444,0.761,6.224,5.05,4.429
SAP30,4.932,3.528,-2.262,5.865,4.936,3.826
SAP4,2.932,3.306,-3.055,3.635,4.347,1.713
SAR1,9.514,8.236,3.955,9.672,9.084,7.074
SAS10,6.253,3.106,2.049,6.649,5.074,4.671
SAS2,4.296,3.057,-0.125,5.192,4.488,3.857
SAS3,4.288,2.47,0.901,4.554,3.542,3.227
SAS4,4.562,4.041,-0.751,5.271,5.106,5.116
SAS5,5.548,4.637,2.287,5.584,5.349,4.878
SAT4,6.816,5.761,3.596,6.447,6.083,5.167
SAW1,3.995,4.056,1.667,4.021,4.003,3.586
SAY1,4.182,3.924,-1.949,4.417,4.233,3.889
SBA1,8.861,8.137,3.584,9.565,8.244,7.329
SBE2,5.688,4.085,1.178,5.528,5.009,4.687
SBE22,6.042,4.721,1.813,6.415,5.715,5.113
SBH1,8.268,6.06,1.786,8.69,7.672,6.196
SBH2,9.047,7.684,4.352,9.125,8.101,6.657
SBP1,8.08,7.445,2.648,8.265,7.227,6.739
SCC2,4.67,2.493,-2.67,5.458,4.84,3.682
SCC4,4.305,3.718,-0.214,4.992,4.385,3.877
SCD5,4.646,4.086,1.433,4.902,4.657,4.429
SCD6,5.533,4.47,-0.678,6.053,5.227,3.434
SCH9,6.13,5.367,2.755,7.009,6.223,5.764
SCJ1,5.767,2.87,-0.372,6.403,3.941,3.789
SCL1,8.008,7.063,3.801,8.3,6.871,6.633
SCM3,3.918,3.056,-0.155,5.195,4.0,3.763
SCM4,5.683,4.511,1.532,5.479,4.927,2.647
SCO1,4.875,5.745,0.581,5.869,6.902,4.166
SCO2,4.154,5.139,0.574,5.71,5.992,4.449
SCP1,5.359,4.581,0.594,5.672,4.876,3.002
SCP160,7.842,4.006,-1.381,8.322,5.687,4.583
SCS2,8.438,6.87,3.233,8.83,7.3,6.252
SCS22,4.636,4.368,-0.048,5.517,5.021,4.038
SCS3,5.984,3.826,0.914,6.34,5.117,4.81
SCS7,7.015,6.808,4.722,6.046,7.114,6.21
SCT1,6.477,4.89,0.926,6.605,5.714,4.415
SCW10,8.008,5.495,-1.408,8.364,7.622,4.22
SCW11,6.095,4.439,-1.973,5.993,4.581,2.701
SCW4,8.551,7.89,-2.1,8.504,9.241,6.227
SCY1,4.686,3.182,-2.011,4.997,4.204,2.976
SDA1,7.192,2.758,-0.252,7.481,5.23,4.91
SDC1,5.662,4.556,0.047,6.51,5.42,4.031
SDC25,3.58,4.187,3.462,2.469,4.083,4.431
SDH1,6.513,9.727,3.6,7.108,10.327,5.609
SDH2,6.41,10.645,7.125,6.915,10.886,7.213
SDH3,6.816,9.766,0.89,6.957,10.344,6.888
SDH4,6.453,10.11,2.2,6.99,10.697,7.031
SDL1,2.466,2.242,-3.659,0.595,1.418,2.637
SDO1,6.711,3.187,-2.446,6.375,4.12,3.596
SDP1,3.54,5.387,0.546,4.884,4.949,2.975
SDS22,4.988,5.648,0.284,5.482,5.526,4.434
SDS23,5.597,5.628,1.574,6.149,6.634,5.624
SDS24,4.882,6.781,2.821,6.042,6.669,6.452
SDS3,4.219,3.413,1.572,4.705,3.962,3.439
SDT1,6.027,5.268,-1.164,6.717,6.37,3.186
SEA4,4.474,3.369,-0.248,4.694,4.135,3.378
SEC1,5.033,3.888,-1.654,4.824,4.276,3.444
SEC10,4.907,3.685,-0.612,4.997,4.048,3.571
SEC11,6.947,6.608,0.544,7.123,6.852,5.287
SEC12,5.395,2.73,-1.811,5.655,4.167,4.197
SEC13,8.407,6.409,1.984,8.576,7.059,5.832
SEC14,8.491,5.663,1.373,8.328,6.889,6.054
SEC15,5.401,4.241,-1.178,5.224,4.485,2.76
SEC16,5.23,4.206,1.102,5.668,5.449,4.745
SEC17,6.454,6.515,3.981,6.71,6.416,5.83
SEC18,6.469,4.571,0.374,6.58,5.203,4.1
